j,NodeName,River
j1,Oneida,Bear
j2,Groundwater,
j12,Box Elder diversion,Bear
j13,Box Elder M&I,
j14,Box Elder return,Bear
j15,Box Elder Ag,
j16,Watastch Front,
j17,Mainstem,Bear
j18,Cache Return,Bear
j19,Headwaters,Malad
j20,Confluence,Bear
j21,Corrine,Bear
j22,Malad Gains,
j23,Great Salt Lake,Bear
j24,Confluence,Little Bear
j25,Confluence,Logan
j26,Headwater,Logan
j27,South Cache,
j28,Wellsville East,
j29,Hyrum diversion,Little Bear
j3,Cache M&I,
j30,Highline Return,Blacksmith fork
j31,Headwater,Blacksmith fork
j32,Confluence,South Fork Little Bear
j33,Porcupine,East Fork Little Bear
j34,Headwater,East Fork Little Bear
j35,Headwater,South Fork Little Bear
j36,Cutler Gains,
j37,Headwater,Bear
j38,Highline Canal,
j39,Cache Ag,
j4,Stateline,Bear
j40,Hydrum Diversion,South Fork Little Bear
j41,Paradise Canal,
j42,Hyrum Canal,
j43,Paradise Diversion,East Fork Little Bear
j44,Wellsville Mendon,
j45,Hyrum diversion,East Fork Little Bear
j5,Confluence,Bear
j6,Headwater,Cub
j7,Cutler,Bear
j8,Bear River Canal Co,
j9,Bear River Canal Co Return,Bear
